TP,TM_FC,SEQ,TM_EQK,MSC,MT,LAT,LON,LOC,INT,REM,COR
3,200111211100,41,20011121104910.009,3.5,36.7000,128.3000,경북 문경 북쪽 약 15km 지역,유감,- 지금까지 조사된 바에 의하면 문경, 안동, 영주 등에서 건물과 창문이 흔들리는 정도의 진동이 감지되었음.\n\n\n
3,200111211100,41,20011121104910.009,3.5,36.7000,128.3000,경북 문경 북쪽 약 15km 지역,유감,- 지금까지 조사된 바에 의하면 문경, 안동, 영주 등에서 건물과 창문이 흔들리는 정도의 진동이 감지되었음.\n\n\n
3,200111211100,41,20011121104910.009,3.5,36.7000,128.3000,경북 문경 북쪽 약 15km 지역,유감,- 지금까지 조사된 바에 의하면 문경, 안동, 영주 등에서 건물과 창문이 흔들리는 정도의 진동이 감지되었음.\n\n\n
3,200111211100,41,20011121104910.009,3.5,36.7000,128.3000,경북 문경 북쪽 약 15km 지역,유감,- 지금까지 조사된 바에 의하면 문경, 안동, 영주 등에서 건물과 창문이 흔들리는 정도의 진동이 감지되었음.\n\n\n
3,200111211100,41,20011121104910.009,3.5,36.7000,128.3000,경북 문경 북쪽 약 15km 지역,유감,- 지금까지 조사된 바에 의하면 문경, 안동, 영주 등에서 건물과 창문이 흔들리는 정도의 진동이 감지되었음.\n\n\n
3,200111241625,42,20011124161031.006,4.1,36.7000,129.9000,경북 울진 동남동쪽 약 50km 해역,유감,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 경북 울진, 포항, 대구 및 강원도 동해
3,200111241625,42,20011124161031.006,4.1,36.7000,129.9000,경북 울진 동남동쪽 약 50km 해역,유감,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 경북 울진, 포항, 대구 및 강원도 동해
1,200201040045,1,20020104003321.006,2.3,34.8000,127.4000,전남 순천 남서쪽 약 20km 지역,무감\n,,,=
3,200201071720,2,20020107171000.004,3.1,35.4000,128.8000,경남 밀양 남남동쪽 약 10km 지역,유감,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 부산과 마산지역에서 창문이 흔들리는 정도의 진동이 감지되었음.\n\n\n,,=
3,200201071720,1,20020104003321.006,2.3,34.8000,127.4000,전남 순천 남서쪽 약 20km 지역,무감,,,=
1,200201071720,1,20020104003321.006,2.3,34.8000,127.4000,전남 순천 남서쪽 약 20km 지역,무감,,,=
3,200201071720,2,20020107171000.004,3.1,35.4000,128.8000,경남 밀양 남남동쪽 약 10km 지역,유감\n진도 II : 부산, 마산,,
